#
# 4e Monster Specific by Krystian12@hotmail.com
#

:Start
1,[Pwr]

;Skll
1,[111]
1,[111] * [112]
1,[111] * [112] * [113]

;111
1,Intimidate
1,Insight
1,Perception

;112
1,Linguist
1,Diplomacy
1,Acrobatics

;113
1,Athletics
1,Stealth

:Mona
1,[1] * [2] * [3] * [4]

;Mona2
1,[1] * [2] * [3] * [4] * [1]

;Mona3
1,[1] * [2] * [3] * [4] *[1] * [2] * [3] * [4]

;1
1,Hard to Kill or stop
1,Rise Again
1,Blood Drain
5,Impale
5,Stomp
5,Pounce
1,Disease
5,Trample
5,Kick
1,Rage
1,More powerfull in numbers
1,Stench
1,Paralyzing
1,Fear
1,Alarm
1,Hurl large objects
1,Multi headed
1,Web Spinner
1,Warlock Power

;2
1,Arcane Spell
1,Resistant to forced movement
1,Knock Prone
1,Snatch
1,Spit
1,Special Movements
1,Warlord like powers
1,Concealment
1,Darkness
1,Speed
1,Curse
1,Regeneration
5,Swallow
1,Clamping Jaw
1,Voice
1,Projectile Magical
1,Projectile non magical
1,Lure
1,Moan

;3
1,Entrapping Attack
5,Thick Hide
5,Breath
5,Multiple Attack
1,Tremble Ground
1,Second Wind
5,Bite
1,Enervation
5,Charge
5,Gore
1,Special Defense
1,Sneak Attack
1,Absorb
1,Entangle
1,Spittle
1,Close
1,Area
1,Arcane
1,Divine
1,Martial
1,Elemental
1,Ki
1,Primal
1,Psionic
1,Shadow
5,Acid
5,Cold
5,Fire
5,Force
5,Lighting
5,Necrotic
5,Poison
5,Psychic
5,Radiant
5,Thunder
1,Charm
1,Conjuration
1,Fear
1,Healing
1,Illusion
1,Polymorph
1,Reliable
1,Sleep
1,Stance
1,Teleportation
1,Zone
1,Change Shape (Polymorph)
1,Combat Advantage
1,Deceptive Veil (Illusion)
1,Gaseous Form
1,Insubstantial
1,Regeneration
1,Phasing
1,Telepathy
1,Threatening Reach
5,Weapons
5,Tentacle

;4
1,Mucus
1,Slime
1,Orb
1,Dominate
1,Invisibility
5,Slam
5,Claw
1,Shroud
1,Burst
1,Gaze
5,Touch
5,Ray
1,Storm
1,Time
1,Aura
1,Mark
1,Defensive Magic
1,Offensive Magic
1,On death attack
1,On bloodied attack
1,Petrify
5,Tail
1,Swoop
5,Spikes/Thorns
1,Graber
1,Trample
1,Extra Reach

;Alnm
1,Unaligned
1,Evil
1,Chaotic Evil

;Rl
2,Artillery
2,Brute
2,Controller
2,Lurker
2,Skirmisher
2,Soldier
2,Leader

;Sz
1,Tiny
2,Small
3,Medium
2,Large
1,Huge
1,Gargantuan

;Org
1,Aberrant
1,Elemental
1,Fey
1,Immortal
1,Natural
1,Shadow

;Typ
1,Animate [anin1]
1,Beast [beast1]
2,Humanoid [human]
1,Magical Beast [beast2]

;human
1,Orc like
1,Goblin like
1,Ogre like
1,Neandertal like
1,Ape like
1,Reptilian like
1,Insect like
1,Frog like
1,Salamander like
1,Plant like
1,Fungus like

:beast2
1,that is [mag1] and also [mag2]
1,that is [mag1] and also [mag2] and [mag3]

;mag1
1,Wolf shape
1,Lion shape
1,Ox shape
1,Bull shape
1,Hyena shape
1,Fox shape
1,Dolphin shape
1,Whale shape
1,Greater Ape shape
1,Monkey shape
1,Rabbit shape
1,Mouse shape
